INSERT INTO memory_table (user_id, username, age)
VALUES
 ('00000', 'st0', '1'),
 ('00001', 'st1', '2'),
 ('00002', 'st2', '3'),
 ('00003', 'st3', '4'),
 ('00004', 'st4', '5'),
 ('00005', 'st5', '6'),
 ('00006', 'st6', '7'),
 ('00007', 'st7', '8'),
 ('00008', 'st8', '9'),
 ('00009', 'st9', '10'),
 ('00010', 'st10', '11'),
 ('00011', 'st11', '12'),
 ('00012', 'st12', '13'),
 ('00013', 'st13', '14'),
 ('00014', 'st14', '15'),
 ('00015', 'st15', '16'),
 ('00016', 'st16', '17'),
 ('00017', 'st17', '18'),
 ('00018', 'st18', '19'),
 ('00019', 'st19', '20'),
 ('00020', 'st20', '21'),
 ('00021', 'st21', '22'),
 ('00022', 'st22', '23'),
 ('00023', 'st23', '24'),
 ('00024', 'st24', '25'),
 ('00025', 'st25', '26'),
 ('00026', 'st26', '27'),
 ('00027', 'st27', '28'),
 ('00028', 'st28', '29'),
 ('00029', 'st29', '30'),
 ('00030', 'st30', '31'),
 ('00031', 'st31', '32'),
 ('00032', 'st32', '33'),
 ('00033', 'st33', '34'),
 ('00034', 'st34', '35'),
 ('00035', 'st35', '36'),
 ('00036', 'st36', '37'),
 ('00037', 'st37', '38'),
 ('00038', 'st38', '39'),
 ('00039', 'st39', '40'),
 ('00040', 'st40', '41'),
 ('00041', 'st41', '42'),
 ('00042', 'st42', '43'),
 ('00043', 'st43', '44'),
 ('00044', 'st44', '45'),
 ('00045', 'st45', '46'),
 ('00046', 'st46', '47'),
 ('00047', 'st47', '48'),
 ('00048', 'st48', '49'),
 ('00049', 'st49', '50'),
 ('00050', 'st50', '51'),
 ('00051', 'st51', '52'),
 ('00052', 'st52', '53'),
 ('00053', 'st53', '54'),
 ('00054', 'st54', '55'),
 ('00055', 'st55', '56'),
 ('00056', 'st56', '57'),
 ('00057', 'st57', '58'),
 ('00058', 'st58', '59'),
 ('00059', 'st59', '60'),
 ('00060', 'st60', '61'),
 ('00061', 'st61', '62'),
 ('00062', 'st62', '63'),
 ('00063', 'st63', '64'),
 ('00064', 'st64', '65'),
 ('00065', 'st65', '66'),
 ('00066', 'st66', '67'),
 ('00067', 'st67', '68'),
 ('00068', 'st68', '69'),
 ('00069', 'st69', '70'),
 ('00070', 'st70', '71'),
 ('00071', 'st71', '72'),
 ('00072', 'st72', '73'),
 ('00073', 'st73', '74'),
 ('00074', 'st74', '75'),
 ('00075', 'st75', '76'),
 ('00076', 'st76', '77'),
 ('00077', 'st77', '78'),
 ('00078', 'st78', '79'),
 ('00079', 'st79', '80'),
 ('00080', 'st80', '81'),
 ('00081', 'st81', '82'),
 ('00082', 'st82', '83'),
 ('00083', 'st83', '84'),
 ('00084', 'st84', '85'),
 ('00085', 'st85', '86'),
 ('00086', 'st86', '87'),
 ('00087', 'st87', '88'),
 ('00088', 'st88', '89'),
 ('00089', 'st89', '90'),
 ('00090', 'st90', '91'),
 ('00091', 'st91', '92'),
 ('00092', 'st92', '93'),
 ('00093', 'st93', '94'),
 ('00094', 'st94', '95'),
 ('00095', 'st95', '96'),
 ('00096', 'st96', '97'),
 ('00097', 'st97', '98'),
 ('00098', 'st98', '99'),
 ('00099', 'st99', '100'),
 ('00100', 'st100', '1'),
 ('00101', 'st101', '2'),
 ('00102', 'st102', '3'),
 ('00103', 'st103', '4'),
 ('00104', 'st104', '5'),
 ('00105', 'st105', '6'),
 ('00106', 'st106', '7'),
 ('00107', 'st107', '8'),
 ('00108', 'st108', '9'),
 ('00109', 'st109', '10'),
 ('00110', 'st110', '11'),
 ('00111', 'st111', '12'),
 ('00112', 'st112', '13'),
 ('00113', 'st113', '14'),
 ('00114', 'st114', '15'),
 ('00115', 'st115', '16'),
 ('00116', 'st116', '17'),
 ('00117', 'st117', '18'),
 ('00118', 'st118', '19'),
 ('00119', 'st119', '20'),
 ('00120', 'st120', '21'),
 ('00121', 'st121', '22'),
 ('00122', 'st122', '23'),
 ('00123', 'st123', '24'),
 ('00124', 'st124', '25'),
 ('00125', 'st125', '26'),
 ('00126', 'st126', '27'),
 ('00127', 'st127', '28'),
 ('00128', 'st128', '29'),
 ('00129', 'st129', '30'),
 ('00130', 'st130', '31'),
 ('00131', 'st131', '32'),
 ('00132', 'st132', '33'),
 ('00133', 'st133', '34'),
 ('00134', 'st134', '35'),
 ('00135', 'st135', '36'),
 ('00136', 'st136', '37'),
 ('00137', 'st137', '38'),
 ('00138', 'st138', '39'),
 ('00139', 'st139', '40'),
